Startup_Name,Industry_Vertical,City_Location,Investors_Name,Investment_Type,Amount_In_USD
Advenio,Technology,Chandigarh,Kalaari Capital,Seed Funding,100000.00
Guarented,eCommerce,Bangalore,Kalaari Capital,Seed Funding,500000.00
Beyond Evolution,Technology,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,0.00
Uber Dreams,eCommerce,Mumbai,Mohit Lalvani,Seed Funding,500000.00
Convegenius,Education,Noida,Michael and Susan Dell Foundation,Private Equity,900000.00
UrbanLadder,eCommerce,Mumbai,Trifecta Capital,Private Equity,3000000.00
enCashea,Consumer Internet,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,0.00
EngineerBabu,Technology,Indore,Scale Ventures,Seed Funding,0.00
Cult,Healthcare,Bangalore,CureFit,Private Equity,3000000.00
WitWorks,Technology,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,0.00
NearFox,Consumer Internet,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain, Arpan Nagdeve",Seed Funding,0.00
ZoomCar,Consumer Internet,Bangalore,Ford Smart Mobility Llc,Private Equity,24000000.00
Plix,Consumer Internet,Gurgaon,Instalabs,Seed Funding,500000.00
Mobikwik,Consumer Internet,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,40000000.00
MyDidi,Consumer Internet,Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,550000.00
CrownIt,Consumer Internet,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,0.00
LoanTap,Consumer Internet,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,3000000.00
Runnr,Consumer Internet,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,7000000.00
Zolo,Consumer Internet,Noida,Hitouch AG,Private Equity,0.00
Notion Press,Consumer Internet,Chennai,Undisclosed HNI investors,Private Equity,1000000.00
LivSpace,Consumer Internet,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,15000000.00
iAugmentor Labs,Technology,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,149000.00
DayBox,Consumer Internet,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,104000.00
Paytm,eCommerce,Bangalore,MediaTek Inc.,Private Equity,60000000.00
CropIn,Technology,Bangalore,Sophia Investment ApS,Private Equity,2000000.00
Canvera,Consumer Internet,Bangalore,Info Edge (India) Ltd,Private Equity,3000000.00
Prime Focus Technologies,Technology,Mumbai,Ambit Pragma,Private Equity,0.00
Flyrobe,eCommerce,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,5300000.00
inclov,Consumer Internet,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,0.00
RazorPay,Consumer Internet,Bangalore,MasterCard,Private Equity,0.00
DarwinBox,Technology,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,0.00
Venture Catalysts,Consumer Internet,Mumbai,Zaffiro Ventures,Seed Funding,500000.00
PressPlay TV,Consumer Internet,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,0.00
Playment,Consumer Internet,Bangalore,SAIF Partners,Private Equity,700000.00
WealthTrust,Consumer Internet,Mumbai,India Quotient,Seed Funding,0.00
Curefit,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,15000000.00
StitchWood,eCommerce,Mumbai,Deepak Gupta,Seed Funding,200000.00
Grab.in,Logistics,Mumbai,Aramex Ventures Llc,Private Equity,2000000.00
Fulfil.IO,Consumer Internet,US,Rajan Anandan,Seed Funding,0.00
NeoGrowth,Finance,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,16000000.00
SeeDoc,Consumer Internet,Gurgaon,YourNest Angel Fund & Others,Private Equity,1000000.00
BookMyShow,Consumer Internet,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,82000000.00
Flyrobe,eCommerce,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath, Abhishek Jain",Seed Funding,1700000.00
HappilyUnmarried,eCommerce,New Delhi,Info Edge (India) Ltd,Private Equity,740000.00
Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,250000.00
Wedding Wishlist,Consumer Internet,Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,297000.00
AppDaily,Technology,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,2000000.00
Adytude,Consumer Internet,New Delhi,Indian Angel Network,Private Equity,1000000.00
Quickli,Logistics,Gurgaon,"AVG Group, 500 Startups",Private Equity,0.00
SpectraVR,Technology,Mumbai,Rothenberg Ventures,Seed Funding,0.00
Pitstop,Consumer Internet,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,0.00
HolaChef,Consumer Internet,Mumbai,"Kalaari Capital, India Quotient",Private Equity,1950000.00
Purplle,eCommerce,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,6000000.00
Trak N Tell,Technology,Gurgaon,Brian Acton,Private Equity,3500000.00
Overcart.com,eCommerce,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,3000000.00
SirionLabs,Technology,Gurgaon,Sequoia Capital,Private Equity,12250000.00
GyanDhan,Consumer Internet,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,0.00
MintM,Consumer Internet,Bangalore,"Mumbai Angels, Times Internet",Private Equity,0.00
HitGrit,Consumer Internet,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,0.00
Find My Stay,Consumer Internet,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,0.00
YAAP,Consumer Internet,New Delhi,Rainmaker Ventures,Private Equity,5000000.00
Utoo Cabs,Consumer Internet,Chennai,Ajay Piramal,Seed Funding,0.00
Twigly,Consumer Internet,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,600000.00
ShareChat,Consumer Internet,Bangalore,"SAIF Partners, India Quotient",Private Equity,1350000.00
Urban Tailor,Consumer Internet,Bangalore,Unitus Seed Fund,Private Equity,0.00
RentMojo,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,5000000.00
CityFurnish,Consumer Internet,Gurgaon,Brand Capital,Seed Funding,0.00
HEAL Institute,Healthcare,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,0.00
Augrav,eCommerce,Coimbatore,Keiretsu Forum,Seed Funding,450000.00
ShoppinPal,Technology,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,1070000.00
TransTutors / AskIITians,Consumer Internet,New Delhi,500 Startups,Private Equity,0.00
WorkApps,Technology,Pune,SRI Capital,Seed Funding,1000000.00
BankerBay,Consumer Internet,Bangalore,undisclosed investors,Private Equity,2000000.00
BaggOut,eCommerce,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,0.00
TripShelf,eCommerce,New Delhi,GEMS group,Seed Funding,250000.00
SatvaCart,eCommerce,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,0.00
Ridlr,Consumer Internet,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,6000000.00
Yellowdig,Consumer Internet,Pune,SRI Capital,Seed Funding,650000.00
Zuppler,Consumer Internet,New Delhi,SRI Capital,Seed Funding,650000.00
BlueStone,eCommerce,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,30000000.00
underDOGS,Technology,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,0.00
ImageProVision,Technology,Pune,Satish Jamdar,Seed Funding,0.00
Sagacito,Technology,New Delhi,Star India Pvt. Ltd,Private Equity,10000000.00
Deal4Loans / Wishfin,Consumer Internet,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,15000000.00
NiYO Solutions,Technology,Bangalore,Prime Venture Partners,Private Equity,1000000.00
AppLop,Consumer Internet,Gurgaon,Green House Ventures Accelerator,Seed Funding,250000.00
Tax2Win,Consumer Internet,Jaipur,Undisclosed Investors,Private Equity,1000000.00
Truckola,Logistics,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,595000.00
iServe Financial,Consumer Internet,Pune,Nilesh Shah,Seed Funding,0.00
MyTaxiIndia,Consumer Internet,New Delhi,Nihon Kotsu Co,Private Equity,1000000.00
AbeRuk,eCommerce,Bangalore,Swastika Company Pvt Ltd,Seed Funding,0.00
Wiwigo,Consumer Internet,Bangalore,Indian Angel Network,Seed Funding,595000.00
Drums Food,Food & Beverage,Mumbai,"Verlinvest, DSG Consumer Partners",Seed Funding,0.00
Chikoop,Consumer Internet,Indore,Undisclosed Investors,Seed Funding,0.00
BRIDGEi2I,Technology,Bangalore,Edelweiss Private Equity,Private Equity,0.00
Droom,eCommerce,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,0.00
Visit,Consumer Internet,New Delhi,MapmyIndia,Seed Funding,0.00
Atomberg,Technology,Mumbai,Parampara Capital,Private Equity,1000000.00
Coutloot,eCommerce,Mumbai,Venture Catalysts,Seed Funding,0.00
Limo,Consumer Internet,Mumbai,Rainmaker Ventures,Private Equity,1000000.00
iCliniq,Consumer Internet,Bangalore,MadhanKumar Madathupalayam,Seed Funding,0.00
GoGo Truck,Consumer Internet,Chennai,Undisclosed Investor,Seed Funding,75000.00
Vyome Biosciences,Healthcare,New Delhi,Romulus Capital,Private Equity,2000000.00
SillyMonks,Consumer Internet,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,448000.00
CueMath,Education,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,4000000.00
KrazyBee,Consumer Internet,Bangalore,"Yeahmobi, Fenqile",Private Equity,2000000.00
Intgrea,Technology,Bangalore,Undisclosed Investor,Seed Funding,100000.00
HelpShift,Technology,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,23000000.00
CreditVidya,Technology,Mumbai,Kalaari Capital,Private Equity,1000000.00
Grey Campus,Consumer Internet,Hyderabad,Sarath Sura,Seed Funding,1000000.00
ListUp,eCommerce,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,500000.00
6Degree,Technology,Mumbai,Indian Angel Network,Seed Funding,200000.00
Shopwati,Consumer Internet,Gurgaon,Sanjiv Rai,Seed Funding,0.00
Cookifi,Consumer Internet,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,0.00
StoreKing,eCommerce,Bangalore,Axiata Digital,Private Equity,16000000.00
Wired Hub,Real Estate,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,0.00
MySeniorDoctor,Consumer Internet,Gurgaon,BlackJag Partners,Seed Funding,200000.00
Teabox,eCommerce,Siliguri,Cameron Jones,Seed Funding,0.00
ExtraaEdge,Consumer Internet,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,0.00
EPayLater,Technology,Mumbai,3 undisclosed HNIs,Seed Funding,2000000.00
Kyazoonga,eCommerce,Mumbai,Ratan Tata,Seed Funding,0.00
Paytunes,Consumer Internet,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,500000.00
Kickstart Jobs,Technology,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,0.00
Freshee,FMCG,Mumbai,Edelweiss Private Equity,Private Equity,0.00
MadRat Games,Technology,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,0.00
Jazzmyride,eCommerce,New Delhi,TVS Automobile Solutions Ltd,Private Equity,0.00
AutoSense,Technology,New Delhi,TVS Automobile Solutions Ltd,Private Equity,0.00
Redsun Telematics,Consumer Internet,Chennai,TVS Automobile Solutions Ltd,Private Equity,0.00
KhanaGadi,Consumer Internet,Jaipur,50K Ventures,Seed Funding,0.00
Bombay Shirt Company,eCommerce,Mumbai,undisclosed investor,Private Equity,1000000.00
Matrubharti,Consumer Internet,Pune,Viridian Capital,Seed Funding,30000.00
EdTechReview,Consumer Internet,New Delhi,EVC Ventures,Seed Funding,0.00
Bonhomia,Food & Beverage,New Delhi,Valpro Capital and existing investors,Private Equity,0.00
Gobolt,Logistics,New Delhi,MCube8,Seed Funding,0.00
Jivox,Technology,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,6000000.00
Sminq,Consumer Internet,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,1000000.00
CureJoy,Consumer Internet,Bangalore,Accel Partners India,Private Equity,4400000.00
Oneway.cab,Consumer Internet,Vadodara,Indian Angel Network,Seed Funding,450000.00
GrabOnRent,eCommerce,Bangalore,IvyCap Ventures and Unicorn India Ventures,Private Equity,0.00
Diro Labs,Consumer Internet,New Delhi,Info Edge (India) Ltd,Private Equity,450000.00
Unnati Helpers,Consumer Internet,Gurgaon,Info Edge (India) Ltd,Private Equity,600000.00
Athletto,Consumer Internet,Bangalore,Atul Ingle,Seed Funding,0.00
Saavn,Consumer Internet,USA,Guy Oseary,Private Equity,0.00
Voonik,eCommerce,Bangalore,Sequoia Capital,Private Equity,20000000.00
ThinkPhi,Technology,Mumbai,Nimmagadda Prasad,Seed Funding,0.00
Cleartax,Consumer Internet,New Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,12000000.00
Silvan Innovation Labs,Technology,Bangalore,Infuse Ventures,Private Equity,900000.00
GreytHR,Technology,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,5200000.00
Duffl,eCommerce,Bangalore,BetOnIndia Technology Pvt Ltd,Seed Funding,0.00
BYG,Consumer Internet,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,0.00
Dipper,eCommerce,New Delhi,Undisclosed investor,Seed Funding,0.00
Qonfuse,Consumer Internet,New Delhi,Hamraj Kumar,Seed Funding,0.00
The Indian IRIS,Consumer Internet,Ahmedabad,Timbru Ventures,Seed Funding,0.00
Onspoon,Consumer Internet,Mumbai,Swan Angel Network,Seed Funding,150000.00
REstate,Consumer Internet,Bangalore,Idein Ventures,Seed Funding,0.00
Cleartrip,Consumer Internet,Mumbai,"Concur Technologies, Gund Investment",Private Equity,0.00
ProcMart,Consumer Internet,Noida,IndiaMart,Private Equity,0.00
Celerix,Technology,Bangalore,Bitkemy Ventures,Seed Funding,400000.00
NatureNama,Consumer Internet,Mumbai,Unicorn Venture,Seed Funding,225000.00
CyclopsMedtech,Technology,Bangalore,CP Bothra,Seed Funding,0.00
Syona Cosmetics,FMCG,Chennai,The Chennai Angels,Seed Funding,150000.00
PrettySecrets,eCommerce,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,6000000.00
SpiderG,Consumer Internet,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,150000.00
FarEye,Technology,New Delhi,Saif Partners,Private Equity,3500000.00
The Uolo,Consumer Internet,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,210000.00
Staqu,Technology,Gurgaon,Indian Angel Network,Seed Funding,0.00
Padhopadhao,Consumer Internet,New Delhi,Rise India,Private Equity,0.00
Drivify,Consumer Internet,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,50000.00
PratiLipi,Consumer Internet,Bangalore,Nexus Venture Partners,Seed Funding,0.00
ParaBlu,Technology,Bangalore,Kalaari Capital,Seed Funding,500000.00
Schedulers Logistics,Logistics,Mumbai,GVFL,Private Equity,6000000.00
LEAP India,Others,Mumbai,Mayfield Ventures,Private Equity,3000000.00
KabadiExpress,Others,New Delhi,Undisclosed investor,Seed Funding,148000.00
YourDost,Consumer Internet,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,1200000.00
Gomalon,Consumer Internet,Bangalore,Undisclosed investor,Seed Funding,100000.00
Voler Cars,Consumer Internet,New Delhi,"Kanodia family, Amit Banka",Seed Funding,0.00
Travelyaari,Consumer Internet,Bangalore,GVFL Ltd,Private Equity,3000000.00
FabHotels,Consumer Internet,Gurgaon,"Accel Partners, RB Investments",Private Equity,8000000.00
Locanix,Technology,Ahmedabad,Undisclosed investors,Seed Funding,300000.00
LendingKart,Consumer Internet,Ahmedabad,"Bertelsmann India Investments, Mayfield India, Saama Capital, India Quotient",Private Equity,32000000.00
Hello Tax,Consumer Internet,New Delhi,Sanjeev Sinha,Seed Funding,295000.00
MySuperBrain,Consumer Internet,Hyderabad,Soniks Consulting,Seed Funding,0.00
BlogBeats,Consumer Internet,Bangalore,Undisclosed Investor,Seed Funding,0.00
LetReach,eCommerce,New Delhi,vCommission,Private Equity,100000.00
TrendieApp,Technology,Kolkata,Harsh Vardhan Hada,Seed Funding,50000.00
ImpactGuru,Consumer Internet,Mumbai,Piyush Jain,Seed Funding,0.00
Velvetcase,eCommerce,Mumbai,"Uniqorn Ventures Fund, TV Mohandas Pai, S Somasegar",Private Equity,1500000.00
Meru Cabs,Consumer Internet,Mumbai,Brand Capital,Private Equity,25000000.00
Campus Diaries,Consumer Internet,Bangalore,Aarin Capital,Seed Funding,220000.00
Scripbox,Consumer Internet,Bangalore,"Omidyar Network, Accel Partners & existing investors",Private Equity,0.00
Biryani Blues,Food & Beverage,Gurgaon,Carpediem Capital & Others,Private Equity,368000.00
MotoMojo,Consumer Internet,Mumbai,"Niloufer Dundh, Fauzan Rahim, Balamurugan Mani,",Seed Funding,0.00
Get My Parking,Technology,New Delhi,The Chennai Angels,Seed Funding,376000.00
Prescribez,Consumer Internet,Pune,Ankush Mehta,Seed Funding,145000.00
Airwood,Technology,Chennai,StartupXseed Ventures,Seed Funding,0.00
Mobikwik,Consumer Internet,Gurgaon,"GMO Payment Gateway, MediaTek",Private Equity,50000000.00
iDreamCareer,Consumer Internet,New Delhi,Brand Capital,Private Equity,0.00
Zwayam,Consumer Internet,Bangalore,Undisclosed investors,Seed Funding,250000.00
BoiBanit,Consumer Internet,Vadodara,Undisclosed investors,Seed Funding,0.00
Zuver,Consumer Internet,Mumbai,"Shruth & Smith Group, Hermes Group",Seed Funding,180000.00
Prepathon,Education,Mumbai,Blume Ventures,Private Equity,0.00
EasyRoads,Consumer Internet,Mumbai,"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",Seed Funding,200000.00
Lenskart,eCommerce,New Delhi,"International Finance Corp, TPG Growth, Adveq Management, IDG Ventures, Ratan Tata, Kris Gopalakrishnan",Private Equity,60000000.00
Seclore,Technology,Mumbai,"Sistema Asia Fund, Helion Venture, VentureEast, India Alternatives",Private Equity,12000000.00
SolarTown,Technology,Chennai,Grex.in,Seed Funding,200000.00
Comarete,Technology,Pune,Grex.in,Seed Funding,200000.00
MyDentistChoice,eCommerce,Hyderabad,Undisclosed investors,Seed Funding,150000.00
Active.ai,Technology,Singapore,Kalaari Capital Accelerator Program,Seed Funding,500000.00
Affordplan,Technology,New Delhi,Kalaari Capital Accelerator Program,Seed Funding,500000.00
Indee,Consumer Internet,Bangalore,Kalaari Capital Accelerator Program,Seed Funding,500000.00
Unbxd,Technology,New Delhi,"IDG Ventures, Inventus Capital, Indian Angel Network",Private Equity,0.00
WebAlligator,Consumer Internet,Bangalore,Group of undisclosed Angel Investors & HNIs,Seed Funding,375000.00
EduAce Services,Education,Lucknow,MoMagic Technologies,Private Equity,1000000.00
Meesho,eCommerce,Bangalore,Rajul Garg & Others,Seed Funding,0.00
Zebroads,Logistics,Hyderabad,Undisclosed investors,Seed Funding,75000.00
Locus,Technology,Bangalore,"Exfinity Venture Partners, Blume Ventures, BeeNext, Rajesh Ranavat",Private Equity,2750000.00
Toko Innovations,Consumer Internet,Bangalore,"Roopak Saluja, Vishal Khare",Seed Funding,450000.00
Rentickle,eCommerce,New Delhi,"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",Seed Funding,250000.00
HealthifyMe,Consumer Internet,Bangalore,"IDG Ventures India, Inventus Capital, Blume Ventures",Private Equity,6000000.00
Zarget,Consumer Internet,Chennai,"Accel Partners, Matrix Partners, Girish Mathrubootham",Private Equity,1500000.00
InnoNano Research,Technology,Chennai,NanoHoldings,Private Equity,18000000.00
SchoolWear,eCommerce,Mumbai,Undisclosed investors,Seed Funding,1500000.00
Swiggy,Consumer Internet,Bangalore,"Norwest Venture Partners, DST Global, Accel Partners",Private Equity,7000000.00
Zenify,Consumer Internet,Bangalore,Undisclosed Investors,Private Equity,900000.00
Faircent,Consumer Internet,Gurgaon,"JM Financial Products Ltd, Arun Tadanki, Doreswamy Nandkishore, Kshitij Jain",Private Equity,0.00
Fractal Analytics,Technology,Mumbai,Khazanah Nasional Berhad,Private Equity,100000000.00
Unacademy,Consumer Internet,Bangalore,"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",Seed Funding,500000.00
Capital Float,Consumer Internet,Bangalore,"Creation Investments Capital Management, SAIF Partners, Sequoia Capital, Aspada Ventures",Private Equity,25000000.00
Life Circle,Healthcare,Hyderabad,GROUPE SOS,Private Equity,150000.00
Dream Wallets,Consumer Internet,Jaipur,"Rakesh Gupta, Aditya Aggarwal, Siddharth Banerjee, Vikas Ranjan, Anshul Jindal, Sunil Koul, and Sanjeev Agrawal",Seed Funding,0.00
ShabdNagari,Consumer Internet,Kanpur,ah! Ventures,Seed Funding,0.00
Galleri5,Consumer Internet,Bangalore,"Phanindra Sama, Raghunandan G,",Seed Funding,0.00
Derbii,Logistics,Gurgaon,Anurag Chauhan,Seed Funding,0.00
StayZilla,Consumer Internet,Chennai,"Matrix Partners, Nexus Ventures",Private Equity,13500000.00
WoW Express,Logistics,Mumbai,Undisclosed Investors & Tamarind Family Private Trust,Private Equity,2200000.00
Smartivity,eCommerce,Delhi,"S Chand, AdvantEdge Partners",Private Equity,1000000.00
BedBathMore,Consumer Internet,Mumbai,"Kinnevik Group, Rocket Internet",Private Equity,0.00
Murgency,Consumer Internet,Mumbai,Rata Tata,Private Equity,0.00
Crownit,Consumer Internet,Gurgaon,"Undisclosed investors, Accel Partners, Helion Venture Partners",Private Equity,0.00
Blinge,eCommerce,Mumbai,"Anupam Mittal, Anuj Srivastava, Ankit Nagori",Seed Funding,0.00
TheSmartQ,Consumer Internet,Bangalore,YourNest Angel Fund,Seed Funding,250000.00
PurpleHealth,Consumer Internet,Trivandrum,Katabole Technology Venture,Seed Funding,100000.00
Fundamentor,Education,Pune,Subramanya SV,Seed Funding,0.00
EduPristine,Education,Mumbai,"Kaizen Management Advisors, DeVry Inc",Private Equity,10000000.00
BhiveWorkspace,Reality,Bangalore,Blume Ventures,Private Equity,1000000.00
Parentlane,Consumer Internet,Bangalore,"Sujeet Kumar, Aprameya, Sumit Jain, Subramanya Venkat, Venk, Ravi Machani, Hitesh Gupta, Rohit Choudhary",Seed Funding,0.00
Appie,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,1000000.00
Niki.ai,Technology,Bangalore,Ratan Tata,Private Equity,0.00
TaxiVaxi,Consumer Internet,New Delhi,Undisclosed HNIs,Seed Funding,500000.00
Veqta,Consumer Internet,New Delhi,"Chatsworth Management, ITW Digital",Seed Funding,500000.00
i2ifunding,Consumer Internet,Noida,Undisclosed Investors,Seed Funding,300000.00
EduRev,Consumer Internet,Gurgaon,Pradeep Reddy Kamasan,Seed Funding,0.00
Hoppingo,Consumer Internet,New Delhi,vCommission,Seed Funding,89000.00
Eatonomist,Consumer Internet,Gurgaon,MCube Capital Advisors Pvt Ltd,Seed Funding,0.00
Goalwise,Consumer Internet,Bangalore,Undisclosed HNIs,Seed Funding,1000000.00
Roast,Consumer Internet,New Delhi,Indian Angel Network,Seed Funding,0.00
Address Health,Healthcare,Bangalore,Gray Matters Capital,Private Equity,1500000.00
Arcatron Mobility,Technology,Pune,Sudhir Mehta,Seed Funding,100000.00
SheThePeople,Consumer Internet,New Delhi,Anand Mahindra,Seed Funding,0.00
Cleartax,Consumer Internet,Bangalore,"FF Angel, Sequoia Capital",Private Equity,2000000.00
Consure Medical,Healthcare,New Delhi,"Accel Partners, Indian Angel Network, India Innovation Fund India Venture Partners",Private Equity,0.00
mChamp,Consumer Internet,New Delhi,MoMagic Technologies,Seed Funding,475000.00
Pianta,Consumer Internet,Bangalore,"Kunal Shah, Sandeep Tandon",Seed Funding,0.00
Vahanalytics,Technology,Mumbai,"Anirudh Damani, Vikram Lakhotia",Seed Funding,200000.00
Play Your Sport,Consumer Internet,New Delhi,Ashish Gupta and other undisclosed investors,Seed Funding,0.00
Koovs,eCommerce,New Delhi,HT Media Ltd,Private Equity,4400000.00
CCavenue,Consumer Internet,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,8900000.00
1mg,eCommerce,Gurgaon,HBM Healthcare Investments,Private Equity,0.00
Tpot,Food & Beverage,Gurgaon,Ashish Gupta,Seed Funding,0.00
MachaDalo,Consumer Internet,Mumbai,Undisclosed Investors,Seed Funding,175000.00
Dil Mil,Consumer Internet,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,2700000.00
PicsDream,Consumer Internet,Delhi,Raman Roy,Seed Funding,0.00
Process 9,Consumer Internet,Gurgaon,"Indian Angel Network, Alok Sharma, Kris Gopalakrishnan, Saurabh Srivastava, and Ajai Chowdhry",Seed Funding,0.00
Housing,Consumer Internet,Mumbai,Vineet Singh,Private Equity,0.00
Roll Mafia,Food & Beverage,Pune,Equentia Natural Resource & Other undisclosed investors,Seed Funding,0.00
Hungama,Consumer Internet,Mumbai,Xiaomi Inc,Private Equity,25000000.00
Highway Delite,Consumer Internet,Bangalore,N.S. Raghavan Centre for Entrepreneurial Learning,Seed Funding,0.00
Cult Fitness,Healthcare,Bangalore,Mukesh Bansal,Seed Funding,0.00
Haptik,Technology,Mumbai,Times Internet Ltd,Private Equity,0.00
Servify,Consumer Internet,Mumbai,"Blume Ventures, Barkawi Holdings GmbH, TM Service Technology Holdings GmbH",Private Equity,0.00
Shipsy,Logistics,Gurgaon,DTDC Express Ltd,Private Equity,1000000.00
gear6,Consumer Internet,Bangalore,Ninestarter,Seed Funding,500000.00
MyGlamm,Consumer Internet,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,6000000.00
Petoo,Consumer Internet,Bangalore,Axilor Ventures,Private Equity,1000000.00
Truly Social,Consumer Internet,London,Nazara Technologies Pvt Ltd,Private Equity,0.00
Little Black Book,Consumer Internet,New Delhi,"IDG, Indian Angel Network",Seed Funding,0.00
Vahan,Education,Chennai,Villgro,Seed Funding,0.00
imedilane,Consumer Internet,New Delhi,"Mahendra Patel, Nilender Chauhan",Seed Funding,40000.00
Living Local,Consumer Internet,Mumbai,Rattan Chadha,Seed Funding,200000.00
Vegfru,eCommerce,New Delhi,Wingify,Seed Funding,0.00
